"f1","f2","f3","f4","label"
18.63,16.77,1.40,143.25,"nope"
17.07,17.26,0.91,126.40,"nope"
9.18,21.12,0.79,55.55,"nope"
15.48,19.31,1.08,79.66,"nope"
10.14,21.09,1.17,78.60,"nope"
13.76,20.16,1.83,95.45,"nope"
17.81,17.48,0.64,176.20,"nope"
20.11,17.56,0.97,145.04,"nope"
20.41,17.61,0.26,137.16,"nope"
21.00,17.75,0.43,131.58,"nope"
21.78,18.60,2.31,186.43,"nope"
22.55,17.51,1.10,112.70,"nope"
21.11,17.77,2.25,208.97,"nope"
36.09,14.79,1.18,276.44,"nope"
38.28,18.24,1.28,192.72,"nope"
43.57,16.12,1.79,364.59,"nope"
30.42,19.22,2.60,176.77,"nope"
27.31,20.48,2.49,197.01,"nope"
25.11,22.25,1.86,182.40,"nope"
29.10,22.69,1.33,183.42,"nope"
24.21,22.01,1.05,187.26,"nope"
25.71,17.81,1.21,252.46,"nope"
26.42,18.34,1.04,269.42,"nope"
31.26,16.64,1.72,367.88,"nope"
22.93,16.80,1.23,214.16,"nope"
26.31,16.44,1.19,222.33,"nope"
27.68,15.54,0.83,346.78,"nope"
27.26,18.18,1.24,340.49,"nope"
17.07,19.02,1.26,174.16,"nope"
14.27,20.20,1.12,165.37,"nope"
12.02,24.43,1.26,131.84,"nope"
28.02,24.54,1.02,176.33,"nope"
17.90,20.83,1.08,116.00,"nope"
26.68,26.55,0.59,150.32,"nope"
22.74,25.84,2.54,156.17,"nope"
12.26,20.96,2.11,82.15,"nope"
10.10,24.01,0.82,78.64,"nope"
11.22,26.04,0.46,52.60,"nope"
29.65,21.97,1.30,234.48,"nope"
14.02,19.45,0.33,82.06,"nope"
12.15,20.67,0.37,64.52,"nope"
13.66,20.24,1.30,60.11,"nope"
22.07,20.17,0.98,236.49,"nope"
14.73,22.80,1.23,89.50,"nope"
22.15,17.31,1.36,194.39,"nope"
16.86,15.18,0.72,182.86,"nope"
12.32,21.50,1.33,62.12,"nope"
16.04,16.55,0.89,136.33,"nope"
29.51,19.85,1.32,182.63,"nope"
25.45,23.58,2.11,214.88,"nope"
24.76,18.11,0.32,164.53,"nope"
13.56,19.12,0.21,95.63,"nope"
11.94,21.40,0.97,108.07,"nope"
13.76,17.38,2.09,189.68,"nope"
34.63,19.64,3.59,205.76,"nope"
16.43,19.91,2.12,131.39,"nope"
27.45,21.28,1.84,200.03,"nope"
13.61,21.96,0.53,70.52,"nope"
20.14,19.09,1.99,98.94,"nope"
27.99,26.41,3.14,140.52,"nope"
25.79,22.07,1.48,136.35,"nope"
13.00,20.58,0.57,113.21,"nope"
9.53,23.97,0.59,58.76,"nope"
21.02,26.48,1.06,157.44,"nope"
23.96,24.46,1.38,198.29,"nope"
18.86,20.45,1.86,253.08,"nope"
9.40,23.15,0.64,74.54,"nope"
26.14,27.11,4.32,113.51,"nope"
15.83,20.00,0.45,140.00,"nope"
26.76,18.35,0.76,293.93,"nope"
10.57,21.94,1.20,91.03,"nope"
22.39,21.52,0.40,92.88,"nope"
25.13,22.03,1.26,151.34,"nope"
10.86,21.98,0.40,41.26,"nope"
12.26,24.98,1.22,61.59,"nope"
43.84,16.53,0.15,588.48,"nope"
29.16,17.59,0.93,300.04,"nope"
14.99,19.71,0.19,108.85,"nope"
33.41,21.65,0.41,296.73,"nope"
13.78,21.39,1.17,96.60,"nope"
24.59,24.59,1.98,222.46,"nope"
19.43,21.68,0.66,196.52,"nope"
14.56,25.44,1.18,71.78,"nope"
13.65,20.61,0.45,80.46,"nope"
25.71,24.02,0.72,229.16,"nope"
14.71,21.67,1.32,143.75,"nope"
26.19,15.85,1.08,331.42,"nope"
46.94,19.35,0.84,320.50,"nope"
32.57,19.26,1.49,281.21,"nope"
16.01,20.92,0.64,128.98,"nope"
34.92,20.00,1.81,371.37,"nope"
22.40,17.16,0.48,201.49,"nope"
22.89,17.27,0.84,283.23,"nope"
34.39,20.57,2.49,175.83,"nope"
18.16,19.98,1.33,136.25,"nope"
12.79,22.08,1.19,70.64,"nope"
15.69,20.08,1.25,155.05,"nope"
37.01,22.56,0.35,289.73,"nope"
29.79,30.36,1.38,102.94,"nope"
20.09,25.36,1.51,98.02,"nope"
33.62,22.93,2.67,243.52,"nope"
28.27,16.66,2.11,288.46,"nope"
21.89,18.22,0.74,211.98,"nope"
34.25,26.40,1.96,214.64,"nope"
14.80,26.63,0.88,61.74,"nope"
26.71,28.64,0.29,119.26,"nope"
32.14,24.51,0.91,219.76,"nope"
31.11,13.16,0.77,360.79,"nope"
17.84,15.48,0.58,309.13,"nope"
13.27,20.75,0.97,117.59,"nope"
69.13,18.84,2.84,445.84,"nope"
42.53,24.42,4.84,369.85,"nope"
34.22,24.17,1.16,151.06,"nope"
610.10,33.29,117.40,1570.87,"nope"
56.72,15.34,1.84,577.38,"nope"
78.34,13.50,2.21,1231.77,"nope"
25.47,11.67,1.36,624.65,"nope"
273.85,19.52,13.58,2395.48,"nope"
128.24,25.72,7.42,714.73,"nope"
61.05,20.48,6.35,392.58,"nope"
28.85,22.84,1.13,214.47,"nope"
39.47,22.27,1.01,460.70,"nope"
33.23,22.04,0.91,173.82,"nope"
25.31,19.63,1.19,224.44,"nope"
