"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","f51","f52","f53","f54","f55","f56","f57","f58","f59","f60","f61","f62","f63","f64","label"
34809.3130,14984.1998,83.2629,18.9171,24.3512,21.8118,15.4749,13.8785,6.1552,2.7500,1.3900,5.5639,4.4994,4.7304,9.4981,7.3951,2.9190,4.5877,5.5647,4.0494,0.5637,8.7500,4.6380,0.5345,6.9882,6.3069,3.6414,4.3217,4.1418,4.6831,2.2428,5.0245,1.9285,4.7742,1.0318,6.0440,8.1055,8.7605,7.6779,5.6128,13.4469,13.1240,5.5289,3.5682,8.7161,6.5840,4.0446,7.3674,3.4377,4.7704,6.3121,4.6884,1.0565,2.1181,7.8399,3.0472,4.8296,2.5751,10.2680,8.7795,3.5352,4.4252,2.9348,2.4897,"nope"
34789.7548,14955.1582,85.6314,64.4418,167.2411,198.3516,49.9661,42.9599,43.1656,36.7692,25.0879,15.9912,3.4852,6.1372,8.3812,13.6166,12.2740,16.1800,12.8529,15.8678,13.6750,7.5178,6.8908,8.4729,8.6765,5.7251,10.3008,9.8675,6.4399,4.0759,1.4619,5.9463,10.2897,11.2678,10.0554,15.5256,14.3927,10.2545,13.2279,11.2021,2.9551,1.2820,2.8159,8.7984,5.4308,6.4552,5.3484,1.8110,1.7211,4.6064,5.0655,5.4798,11.3785,10.0879,1.3363,5.2930,6.7314,4.9398,10.7035,14.9785,14.6771,4.7653,7.7324,5.0667,"nope"
34819.1994,14977.1898,92.2856,20.0063,360.6920,575.9634,221.1243,7.6562,11.6193,10.0579,9.5083,5.2880,3.6694,8.6883,5.0168,16.6188,18.1075,14.2775,5.4983,7.1336,3.8833,3.7290,4.1389,5.8067,9.8164,11.4032,9.9343,2.3571,12.8155,18.5463,7.1699,5.7683,8.5192,3.3836,4.2338,5.8405,7.1767,2.8216,1.2305,7.3153,4.9474,3.6964,2.9907,5.0317,6.3886,2.5715,6.5665,1.0285,2.9354,2.5319,6.9359,5.8673,4.5327,2.2741,1.2701,2.8178,5.5779,5.2923,8.1004,11.1592,5.2212,2.5446,6.0529,12.2370,"nope"
34790.5035,14994.9637,91.3967,30.2909,16.8024,48.8375,14.3760,13.4361,8.1134,2.7670,8.1291,5.4442,10.2615,13.1789,7.4030,4.6127,9.9069,4.8424,7.5903,4.1857,8.0779,9.8580,13.2007,15.4100,7.6972,8.1968,11.6393,10.5159,4.9572,10.3327,8.6423,4.4465,4.2494,8.6125,10.4559,8.0588,3.5767,3.5416,7.6203,7.5429,7.5770,5.9647,9.8126,13.7648,10.6226,5.2985,5.3612,3.9854,4.2305,4.7007,5.2833,1.4446,4.9923,4.2620,3.3057,4.0380,5.0045,5.4243,3.1187,3.9158,4.8440,1.8347,6.1762,6.6381,"nope"
34823.8186,14965.4889,48.9484,49.7733,16.8118,2.5210,11.9252,2.1557,19.1711,9.1136,12.8067,5.1043,6.0170,7.4245,7.6727,5.2488,9.9911,9.5594,9.4247,10.4833,5.5243,4.8795,1.5209,6.5174,3.1342,7.1520,10.4986,7.8328,2.1177,7.8296,9.9624,5.3567,6.9955,4.2966,8.3260,2.2199,9.3938,13.6734,11.4270,5.4478,5.7310,7.1461,8.2290,1.6809,2.3639,4.9423,7.2437,4.5007,4.9123,4.5513,3.2497,1.7453,2.4130,6.2645,8.5445,4.6779,2.3152,5.2456,3.8439,2.2216,3.0930,2.7472,2.1007,2.3859,"nope"
34862.1988,15031.4510,110.3204,18.2751,55.9338,59.4729,15.9345,6.5381,6.6533,8.3718,15.1734,6.3194,0.9916,0.6114,11.7153,7.7385,11.2957,9.1427,8.4611,4.6749,11.0076,13.0621,13.3813,0.3529,11.7906,10.1980,6.2236,6.7113,6.4564,5.8622,3.0371,1.9385,9.3849,8.8344,4.3833,9.5841,3.3538,11.9363,6.2900,3.1980,4.3401,8.1485,11.0529,10.0929,4.5097,0.9929,5.0614,9.1925,5.3652,4.9560,8.8857,8.6001,3.4733,2.0124,1.3557,5.5881,3.9210,5.6722,4.4367,4.9935,8.4163,8.8985,10.9192,4.6151,"nope"
34837.2575,15000.1101,85.4642,19.0382,40.8462,44.5994,25.7458,22.5991,10.0516,11.1322,3.7910,11.8984,18.8924,5.0475,2.8834,5.5672,7.1089,7.3737,11.8625,16.5021,13.1854,15.8021,16.1045,1.7493,10.7976,16.9253,15.0459,11.0412,7.3823,9.4320,1.7180,4.7010,2.2684,4.5465,5.6120,5.0414,3.8648,3.7059,4.6585,6.9889,5.9127,3.9116,2.9294,5.0237,7.7149,3.0790,3.9812,4.6609,6.6106,8.2350,6.5464,2.7508,8.8214,5.9890,3.6323,5.1266,5.2262,5.8395,2.9018,6.0158,2.9101,5.8304,5.1371,4.2462,"nope"
34841.0053,15040.4697,104.2591,81.3777,26.8977,18.9631,38.5238,22.7509,0.5933,16.2071,10.1413,15.6836,7.7806,10.8640,24.4467,8.9394,9.9671,15.4899,15.9302,10.5627,9.4316,2.5134,1.4908,5.4658,2.4142,3.1423,6.8195,4.2641,2.2337,7.0336,2.2345,6.2990,7.4070,9.3094,12.8544,2.5044,4.9366,4.0480,3.0076,3.1189,2.4266,3.8160,0.5729,3.4019,5.7557,5.6453,4.4325,4.8962,4.3548,7.8141,7.9252,2.9298,2.8566,4.6661,1.6978,6.7554,6.3956,5.5364,5.9119,8.2268,0.7113,9.0540,6.8318,9.9584,"nope"
34751.7644,14880.5488,43.0556,71.7269,8.5386,15.1647,15.9982,7.7715,11.7295,13.6725,9.3796,10.0668,4.0627,8.3074,6.2079,5.0180,3.4171,7.7058,7.5115,11.6933,10.6803,5.3354,1.9070,2.1438,7.7156,14.7686,19.5215,9.2015,3.5965,8.1346,7.5208,4.7416,6.0181,7.4377,6.2884,2.3528,2.2357,1.8646,7.8044,4.9159,3.3166,7.0897,5.7851,6.8418,2.1740,10.2984,11.0664,5.2312,3.1464,1.7496,8.3292,11.3712,9.6028,2.6967,3.7088,4.0007,1.2288,4.0138,8.2537,9.9022,6.9038,3.0070,3.7466,6.1965,"nope"
34856.1692,15048.8653,100.8773,51.1592,5.1271,7.2273,6.4713,10.9653,6.1569,9.3634,4.3608,6.2994,6.5168,8.9434,13.3578,5.5463,1.6403,6.0059,5.4937,8.4714,11.0729,12.8437,7.5428,2.5598,4.7833,1.2618,7.5870,12.4805,7.4167,5.8809,8.4801,4.4846,5.9075,9.7089,10.5775,10.6310,9.7036,7.1066,10.8269,12.7377,5.0650,5.5120,3.0685,1.3202,4.1595,7.4377,7.1424,5.4649,2.8145,2.9699,8.3301,12.4291,6.8919,3.3503,3.2578,9.9746,9.9533,8.8026,1.0123,4.7270,2.9542,4.8425,6.1091,6.9233,"nope"
